Movie|8 Mile|Movie|Drama|2002|Marshall Mathers
Music|Ain't Nothin but a G Thang|Music|West Coast Rap|1992|Dr Dre
Movie|Apollo 13|Movie|Drama|1995|Brian Grazer
Music|Back in Black|Music|Rock|1980|AC/DC
Movie|Backdraft|Movie|Thriller|1991|Ron Howard
Book|Beyond Good and Evil|Book|Philosophy|1886|Fredrich Neitzche
Music|Brooklyn We Go Hard|Music|Brooklyn Rap|2009|Jay Z
Book|Building Construction for the Fire Service|Book|Educational|1971|Francis Brannigan
Book|C++|Book|Reference|2014|Paul Deitel
Book|C++ IS Fun|Book|Education|2010|Larry Wall
Music|Cowboys from Hell|Music|Rock|1990|Pantera
Book|Fabric of the Cosmos|Book|Physics|2004|Brian Greene
Book|Geneology of Morals|Book|Philosophy|1887|Fredrich Neitzche
Movie|Jobs|Movie|Drama|2013|Joshua Michael Stern
Music|Just a Memory|Music|Brooklyn Rap|2005|Notrious Big
Movie|Ladder 49|Movie|Thriller|2004|Jay Russel
Book|Leviathan|Book|Philosophy|1651|Thomas Hobbes
Music|Lucky Man|Music|Rock|1997|The Verve
Music|Ramble On|Music|Rock|1969|Led Zeppelin
Movie|Saving Private Ryan|Movie|War|1998|Steven Spielberg
Book|Second Discourse|Book|Philosophy|1755|Jean-Jacques Rousseau
